,nbti,like,think,people,one,know,really,would,thing,time,get,link,feel,type,make,much,well,say,friend,love,way,want,good,see,something,also,lot,go,even,always,life,someone,could,never,though,year,find,thought,need,infp,actually,extraverted
29,INFJ,8,13,10,23,4,11,5,14,5,2,3,25,1,3,6,2,8,0,1,8,1,2,16,6,8,3,10,3,5,2,5,4,6,6,1,2,3,1,0,2,introverted
30,INFP,24,25,11,26,3,7,3,11,8,8,0,5,0,1,6,7,4,15,4,11,4,4,7,0,4,3,14,4,1,1,10,1,3,5,2,3,2,0,5,4,introverted
31,INFJ,6,9,19,7,6,14,1,6,2,3,0,9,2,0,1,8,1,0,5,9,8,5,3,1,0,8,7,3,7,2,0,2,1,0,0,4,0,1,1,0,introverted
32,INTP,5,9,1,8,12,1,9,2,6,3,1,3,12,1,1,2,6,4,1,2,2,4,10,0,1,2,11,4,2,0,2,0,3,6,2,1,2,1,2,0,introverted
33,INFJ,6,13,6,12,5,9,6,15,8,5,2,12,2,2,2,0,7,5,5,6,2,5,15,4,3,2,10,5,2,1,3,3,0,6,0,1,5,9,4,0,introverted
34,ENFJ,7,4,4,7,5,1,6,6,4,4,3,6,0,6,2,2,2,0,3,9,5,6,3,0,5,1,10,0,6,0,1,0,2,5,0,1,2,1,1,3,extraverted
35,INFJ,2,1,0,8,1,0,0,2,2,2,28,4,0,0,0,1,1,1,4,2,6,1,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,introverted
36,INTJ,16,5,3,15,11,6,2,20,8,4,4,9,0,3,4,6,4,1,5,7,9,2,13,4,8,2,7,2,1,6,2,0,3,2,0,1,1,5,0,4,introverted
37,INFP,17,12,13,18,4,8,2,30,9,11,4,17,2,5,4,0,9,7,4,4,12,2,3,12,1,7,9,6,0,1,4,3,6,2,1,1,2,4,7,0,introverted
38,ENFP,5,11,5,9,2,3,3,6,7,5,4,11,0,4,1,2,1,6,10,9,3,2,5,1,1,3,7,3,1,4,0,1,1,8,1,3,3,1,1,0,extraverted
39,ENTJ,13,2,9,20,5,7,7,17,2,11,0,3,3,8,2,3,1,2,5,7,8,7,1,5,4,3,15,2,3,3,3,2,4,3,0,3,1,1,1,1,extraverted
40,ISTP,10,15,7,21,2,8,9,19,7,5,4,3,5,3,2,5,4,1,2,7,7,3,8,6,1,9,7,5,2,0,5,2,2,9,1,2,4,0,0,1,introverted
41,INFJ,6,2,6,14,4,10,1,16,10,13,4,12,1,2,4,4,7,4,3,8,5,1,4,3,3,3,16,3,2,1,4,2,6,5,0,2,2,2,0,3,introverted
42,INTP,13,12,15,9,4,2,9,11,3,6,1,2,1,1,3,1,3,2,1,8,2,3,5,3,3,1,9,2,3,2,1,1,2,0,3,1,0,0,0,0,introverted
43,INFP,12,12,3,9,2,8,4,7,4,5,2,4,13,0,2,0,1,0,9,5,1,3,11,3,5,4,15,1,0,1,2,2,4,5,1,0,1,1,6,0,introverted
44,INTJ,9,8,5,8,4,1,4,7,2,5,10,1,3,1,3,1,1,2,6,5,1,2,7,2,4,1,5,0,2,1,1,1,0,2,0,2,0,4,0,2,introverted
45,INTP,10,8,8,15,7,2,4,11,10,3,4,2,2,8,4,8,6,1,1,3,3,2,3,3,3,5,13,3,1,1,0,3,1,1,1,3,1,1,0,0,introverted
46,ENTJ,7,12,9,11,3,6,2,11,1,11,2,2,4,3,2,3,9,2,1,4,1,2,7,0,6,2,16,4,1,1,0,0,3,3,0,2,1,3,0,2,extraverted
47,INFP,7,7,9,21,4,6,1,14,6,11,0,2,9,1,3,7,3,8,3,7,2,4,2,1,3,0,22,3,3,7,2,1,5,7,4,3,3,2,6,2,introverted
48,ISFJ,16,3,10,13,8,6,2,19,16,10,0,17,3,5,2,2,6,10,6,10,8,2,8,5,5,2,12,4,3,5,6,1,3,2,0,4,0,4,0,1,introverted
49,INTJ,4,2,4,12,4,0,3,10,1,9,7,0,2,1,1,3,5,3,5,4,8,1,4,1,1,0,9,3,0,1,3,0,1,2,2,1,1,1,0,0,introverted
50,INTP,11,8,2,9,4,2,6,4,2,7,0,6,1,3,1,2,7,0,5,7,6,4,5,2,1,1,10,2,4,5,3,3,4,7,0,2,4,3,0,4,introverted
51,INFP,13,7,6,14,6,19,10,16,7,4,6,6,1,4,3,5,4,7,6,9,6,3,1,6,2,4,12,2,6,1,3,0,3,4,2,2,1,2,8,2,introverted
52,ISFJ,9,5,9,14,5,6,2,6,5,4,3,7,6,3,2,1,4,7,4,1,6,3,7,1,0,5,11,2,0,5,1,1,1,5,2,1,4,2,2,3,introverted
53,INTP,9,8,5,15,4,7,3,11,6,4,1,4,2,8,2,2,5,7,5,6,2,5,6,3,4,3,10,4,0,1,2,2,3,3,4,4,0,5,1,0,introverted
54,INFP,8,10,4,20,7,2,0,7,5,3,0,1,2,5,2,3,4,2,8,7,3,3,7,0,2,0,14,5,5,5,2,2,0,4,1,2,1,0,8,2,introverted
55,INFP,5,6,3,13,5,4,1,3,7,6,3,5,1,2,2,1,0,5,6,4,0,1,1,0,0,5,8,1,0,2,0,0,4,1,0,2,1,1,6,1,introverted
56,INFP,13,7,7,10,3,9,7,7,3,8,1,11,1,4,4,3,2,5,9,8,3,7,3,3,1,1,12,2,3,1,2,0,0,4,2,2,4,0,6,0,introverted
57,ENFJ,12,7,6,18,2,4,7,4,2,6,3,4,2,1,1,0,2,7,5,7,7,0,2,3,3,5,6,1,3,1,7,2,2,3,0,6,3,4,1,0,extraverted
58,INTP,13,2,5,5,8,5,4,13,1,4,7,6,1,5,0,2,0,2,4,1,7,4,7,3,0,1,20,2,0,6,2,2,3,5,3,4,2,2,0,2,introverted
59,INTJ,5,5,3,14,6,1,2,4,5,3,1,3,0,1,2,0,1,0,1,5,3,1,0,1,0,1,9,0,1,1,3,3,4,3,1,3,1,4,0,1,introverted
60,INFJ,8,3,4,14,4,2,2,7,3,8,10,4,0,6,4,2,3,3,7,4,2,2,5,1,1,3,14,0,2,0,0,0,0,2,2,3,1,1,0,1,introverted
61,INTP,22,16,9,18,8,6,10,7,9,4,5,4,9,8,5,2,5,3,5,10,2,2,8,1,2,5,10,10,3,3,1,1,2,5,3,1,2,0,0,0,introverted
62,INFP,9,8,2,9,5,3,3,6,6,8,0,14,4,4,3,5,1,6,0,7,5,7,4,0,0,2,14,1,4,5,0,2,1,3,5,0,2,3,5,0,introverted
63,INFP,4,10,5,10,5,2,7,12,11,5,0,3,4,1,3,4,8,3,4,8,3,3,8,3,2,0,10,2,0,2,0,0,7,11,0,0,5,0,6,2,introverted
64,ENTP,4,4,4,5,1,7,0,5,2,0,0,0,1,0,1,0,2,2,0,2,2,1,1,2,0,2,7,1,0,1,1,1,0,0,2,0,0,1,1,0,extraverted
65,INTP,16,14,10,15,8,7,7,20,7,6,0,3,4,3,2,4,10,5,0,11,2,1,6,7,0,2,11,1,1,1,3,5,5,3,0,3,0,1,3,4,introverted
66,ISFP,6,4,1,12,5,0,1,7,2,6,4,1,4,3,0,1,1,2,12,5,1,3,4,2,0,5,6,2,2,0,1,4,2,2,2,6,0,1,1,5,introverted
67,ENFJ,18,12,3,16,17,9,12,6,4,4,1,19,16,3,5,2,2,4,2,6,6,5,9,0,1,2,7,2,3,0,6,11,2,7,0,4,2,1,5,1,extraverted
68,INFJ,11,8,3,12,8,10,7,6,6,5,4,6,4,8,2,3,6,5,3,2,3,0,3,3,4,4,5,1,2,4,2,0,2,3,1,3,1,2,3,1,introverted
69,ENFJ,9,9,4,11,4,5,6,6,5,5,3,9,3,0,2,6,1,5,4,2,2,2,3,3,2,1,8,3,2,2,2,3,2,7,0,3,3,1,0,3,extraverted
70,INFJ,10,7,14,17,8,3,3,10,5,5,0,9,3,6,3,1,3,10,2,8,2,1,4,2,1,4,20,1,2,13,7,3,5,2,3,0,0,6,0,0,introverted
71,INFP,7,5,4,19,2,7,6,4,3,4,11,8,1,5,0,2,1,0,4,2,1,2,1,1,2,5,9,3,1,8,7,3,3,3,1,3,1,1,4,0,introverted
72,ENFP,15,7,3,18,4,0,7,14,5,3,7,5,0,2,4,7,1,8,4,5,5,2,6,4,2,2,8,2,0,1,3,9,3,9,0,3,4,3,0,1,extraverted
73,ISTP,4,4,4,11,5,2,0,6,3,6,2,3,0,1,6,2,0,2,1,5,2,1,3,1,1,0,12,0,0,7,1,1,2,1,2,0,1,6,0,2,introverted
74,INFJ,7,14,7,13,7,4,6,5,6,2,1,10,2,5,2,2,5,6,5,3,4,3,3,2,3,2,12,8,0,6,3,4,7,5,0,2,1,1,0,5,introverted
75,INTP,5,7,2,10,5,0,2,7,9,1,1,7,4,2,2,1,9,0,4,7,2,3,2,0,4,1,11,2,2,0,3,3,2,2,1,0,2,2,1,1,introverted
76,INTJ,9,9,12,10,3,4,5,7,7,0,0,1,3,5,2,1,4,3,2,6,3,1,2,4,0,0,23,1,2,1,1,0,3,4,1,1,1,2,1,2,introverted
77,INTJ,7,3,2,11,2,1,2,5,2,4,1,1,6,1,4,2,0,2,3,7,5,2,7,1,0,1,8,4,1,3,3,0,3,5,2,5,0,0,0,1,introverted
78,INTJ,10,5,10,12,4,2,4,7,2,4,2,4,3,6,1,5,7,9,1,4,1,3,6,1,2,3,11,1,2,2,3,1,0,7,4,2,2,5,1,1,introverted
79,INFP,6,13,5,17,7,12,5,7,15,6,0,1,0,3,6,0,7,0,2,9,3,6,12,2,2,8,19,4,4,3,3,3,1,1,3,2,0,1,0,1,introverted
80,INFP,11,3,4,5,2,4,3,5,1,4,1,5,6,2,0,1,2,0,0,6,0,4,10,1,3,2,6,2,3,2,0,2,2,4,0,0,2,2,1,1,introverted
81,INFJ,12,8,4,17,6,1,0,18,5,7,3,6,0,2,7,4,3,4,4,6,5,3,0,2,2,0,20,3,2,4,1,0,3,0,5,7,0,1,0,0,introverted
82,ENTP,10,5,8,8,5,5,1,8,8,10,1,4,1,1,2,1,4,0,3,12,0,9,3,3,3,2,20,0,2,3,0,0,1,3,8,1,0,4,0,1,extraverted
83,ENTJ,8,9,4,13,6,2,0,7,1,3,10,2,2,0,0,6,0,5,1,5,1,2,13,0,1,1,3,2,4,0,0,10,0,9,0,4,5,1,0,2,extraverted
84,INFP,11,3,1,14,2,3,4,2,7,4,1,1,3,2,0,1,3,3,1,8,2,7,5,1,1,4,12,2,4,0,5,1,1,1,4,2,1,0,5,2,introverted
85,INTP,5,1,0,8,5,2,4,4,0,1,4,2,0,1,3,3,6,0,4,5,2,2,3,3,1,2,11,2,1,0,1,0,2,1,0,0,1,1,0,2,introverted
86,INFP,7,13,8,21,7,2,6,14,4,3,2,7,4,1,2,4,5,3,2,6,6,3,7,3,4,9,12,3,3,4,7,0,2,4,5,5,1,3,8,3,introverted
87,ISFJ,8,4,9,12,10,2,1,6,4,2,2,2,4,1,2,2,1,3,3,8,0,0,7,1,1,2,8,0,3,0,1,1,1,2,1,0,1,0,0,0,introverted
88,ISTJ,8,5,0,12,6,2,6,5,3,3,30,4,1,1,0,5,1,0,0,2,3,2,1,0,5,2,9,1,1,1,3,1,0,5,0,2,1,2,0,1,introverted
89,INTP,8,18,9,18,9,3,4,6,10,6,1,5,9,4,4,3,4,4,2,9,1,2,8,1,6,3,6,3,6,5,9,1,2,10,1,3,3,0,0,6,introverted
90,ENTP,10,4,8,14,3,1,2,10,5,6,3,5,2,3,1,2,0,3,2,6,2,1,4,5,0,4,8,2,2,1,1,3,2,5,5,1,1,2,2,3,extraverted
91,INTP,11,2,5,25,5,2,3,10,5,10,0,6,2,5,1,2,2,0,1,2,9,7,7,6,1,3,14,1,0,5,2,1,3,3,2,5,1,4,1,2,introverted
92,ISFP,9,6,7,8,0,4,5,8,7,6,0,4,1,2,2,1,2,0,7,3,6,3,5,3,3,1,11,2,2,3,3,0,1,0,0,0,0,2,0,1,introverted
93,ENFJ,2,4,1,5,3,0,1,2,3,4,1,0,1,1,1,3,0,0,4,1,0,0,1,0,0,0,3,1,1,0,1,1,0,0,3,0,0,0,6,0,extraverted
94,INFJ,11,4,2,8,1,0,0,6,2,3,0,7,1,3,1,0,2,2,2,4,3,2,1,1,0,1,9,1,2,4,1,0,1,1,1,3,0,3,0,2,introverted
95,INFP,10,2,3,16,7,4,3,5,6,2,6,2,3,1,0,4,1,2,1,5,3,4,6,0,7,1,16,4,1,3,1,5,1,3,7,2,3,0,9,1,introverted
96,INFJ,6,8,3,9,5,4,1,14,7,7,4,3,1,2,4,3,3,7,8,13,4,3,2,4,5,5,11,3,8,1,3,0,3,2,0,4,0,0,3,0,introverted
97,INTJ,3,3,5,14,2,1,2,10,2,1,12,7,0,6,0,7,11,0,0,1,2,2,4,3,1,0,4,2,0,0,4,1,2,3,0,2,2,1,1,1,introverted
98,INFJ,10,6,1,7,5,2,2,10,4,4,8,6,5,4,2,3,0,2,1,4,4,2,4,3,4,2,19,0,1,2,1,2,1,1,1,1,1,0,1,2,introverted
99,ENFP,7,3,2,14,6,1,3,6,4,5,4,1,6,2,2,2,2,2,4,3,0,1,6,3,2,0,12,3,0,1,0,0,3,4,0,3,2,3,0,1,extraverted
100,INFP,6,5,4,23,7,2,6,12,3,1,11,9,1,0,1,2,3,10,3,5,0,2,6,5,2,2,9,5,1,2,8,4,3,8,7,3,3,0,6,4,introverted
101,INFP,11,7,4,13,2,2,3,7,7,0,11,11,1,1,2,0,7,0,1,4,4,0,1,4,3,3,5,1,1,3,5,1,2,4,1,4,4,0,4,1,introverted
102,ENFP,13,3,5,9,3,4,1,5,3,3,6,4,0,2,2,2,1,1,0,1,2,4,1,1,2,0,13,1,1,2,1,2,1,16,3,0,13,1,0,0,extraverted
103,INFJ,10,1,2,4,2,6,11,7,5,1,14,0,1,5,2,0,4,1,4,4,1,0,3,0,0,2,9,0,2,1,0,0,0,1,1,1,0,0,0,0,introverted
104,ISTP,10,4,3,11,4,8,2,9,3,9,0,3,1,3,2,0,1,11,1,4,4,4,3,4,0,2,12,1,2,0,0,0,3,3,0,1,1,0,0,1,introverted
105,INFJ,13,7,4,12,10,3,5,18,8,5,2,2,0,2,5,3,2,9,2,12,1,0,7,4,2,2,6,3,3,5,1,3,3,2,6,7,2,1,0,1,introverted
106,ISTJ,8,5,4,10,3,3,2,6,7,5,2,3,2,3,1,2,6,1,4,5,6,2,3,2,1,1,11,3,2,2,2,3,5,2,1,1,0,1,0,1,introverted
107,ENFJ,13,2,8,6,7,1,8,9,6,5,2,11,2,5,3,3,2,4,4,6,2,1,2,2,0,1,10,1,2,7,1,4,2,2,4,1,2,7,0,2,extraverted
108,INTP,10,4,3,7,3,3,5,12,5,3,13,2,6,0,0,0,1,0,0,1,0,1,2,3,0,1,7,1,0,2,1,2,3,1,0,1,1,3,0,1,introverted
109,INTJ,4,10,1,7,7,1,1,11,3,6,0,3,5,2,0,3,4,5,1,4,0,0,3,3,3,4,12,4,0,3,1,0,1,1,0,1,0,1,0,6,introverted
110,ENTP,16,14,3,11,3,10,6,11,8,10,0,11,2,2,3,3,3,3,3,10,4,2,13,1,3,6,13,0,4,1,2,4,2,7,1,1,6,1,1,1,extraverted
111,INFP,13,10,3,22,7,3,4,20,10,3,1,9,4,4,3,2,3,0,6,14,7,1,0,7,2,6,17,4,8,3,4,1,4,6,3,4,2,5,6,1,introverted
112,INFP,15,11,10,17,3,10,8,17,3,3,2,10,3,6,8,7,5,4,3,16,5,2,4,4,1,4,7,2,3,4,6,4,3,3,1,6,1,3,9,4,introverted
113,ESTP,6,3,4,2,2,1,5,3,4,4,8,0,3,1,2,5,1,2,1,3,2,0,2,2,0,3,5,2,1,1,0,0,2,0,0,1,0,0,0,0,extraverted
114,ISTP,10,9,10,17,3,10,3,15,6,8,0,2,6,1,3,0,4,6,0,6,1,5,0,3,1,3,19,1,2,1,3,0,0,5,2,2,0,5,0,2,introverted
115,ENFP,10,6,2,15,4,5,6,7,4,6,7,7,4,2,2,4,7,6,4,4,6,0,6,1,0,6,12,3,2,1,0,3,1,7,1,2,1,2,0,3,extraverted
116,ENTP,35,13,2,2,7,11,10,5,1,0,0,0,2,3,2,5,0,1,4,4,4,3,8,1,3,10,6,1,2,3,0,2,1,3,1,0,0,2,5,4,extraverted
117,INTP,4,10,3,17,4,4,4,22,19,5,1,3,1,3,1,1,5,2,0,4,9,1,10,8,2,1,13,1,1,0,3,7,0,8,1,3,2,0,7,1,introverted
118,INFJ,11,8,5,12,2,4,3,3,8,3,4,10,2,2,0,1,3,1,3,7,1,0,7,0,2,0,2,1,0,2,4,4,1,2,0,3,2,1,1,2,introverted
119,ENFP,12,3,2,9,3,5,2,2,2,6,7,1,3,1,3,1,2,2,0,7,2,3,4,2,2,3,10,3,2,4,3,3,2,1,0,3,0,1,4,2,extraverted
120,ENTP,16,9,10,8,0,7,3,15,3,5,1,3,2,1,4,3,3,2,2,7,8,8,2,7,2,1,20,1,0,3,0,3,2,5,1,1,3,1,0,2,extraverted
121,INTP,5,3,1,6,0,3,1,2,0,0,1,1,2,0,2,0,0,0,2,3,1,2,2,2,2,0,3,2,2,1,1,1,0,0,0,2,0,0,0,1,introverted
122,INFJ,6,7,2,12,10,2,0,10,13,4,1,7,0,1,4,0,3,1,0,5,4,3,7,1,2,2,8,1,2,3,2,0,2,3,0,2,1,4,0,1,introverted
123,ISTP,8,2,5,9,0,4,2,11,7,5,7,1,1,3,2,0,0,1,4,2,9,2,5,5,1,1,12,1,0,0,2,0,0,3,5,2,0,4,0,1,introverted
124,INTP,2,2,6,7,4,0,4,1,1,0,11,0,2,0,0,2,2,0,0,1,3,1,5,0,0,1,5,4,1,1,1,2,0,2,3,0,2,0,0,1,introverted
125,INTJ,6,7,13,10,3,3,3,13,7,12,12,4,1,5,0,1,3,9,0,8,0,2,0,4,1,6,8,2,2,3,4,3,2,3,1,0,0,0,0,3,introverted
126,ENTP,2,1,3,3,0,5,1,6,6,4,2,0,1,0,3,2,2,0,0,5,5,2,2,1,5,0,11,3,0,0,1,0,3,1,1,2,0,1,0,0,extraverted
127,INFJ,1,11,13,8,4,0,7,8,4,2,6,5,2,2,4,3,8,0,1,7,3,2,4,1,6,2,10,4,5,1,0,2,3,2,2,4,0,2,0,2,introverted
128,INFJ,2,10,7,10,9,3,1,6,4,8,3,4,2,1,3,5,3,0,2,4,3,2,1,3,0,2,7,1,2,3,2,1,0,2,0,5,0,1,0,0,introverted
129,INFJ,6,5,11,11,4,4,9,8,7,2,10,4,13,3,2,1,0,1,3,3,4,1,10,3,1,3,3,3,2,2,2,3,4,0,1,3,0,2,5,1,introverted
130,ENTJ,10,4,3,10,7,4,1,4,5,4,0,3,3,0,1,1,0,7,4,2,3,2,2,1,2,4,7,3,1,4,0,0,1,2,7,0,1,3,1,0,extraverted
131,ISFJ,13,4,7,17,13,7,9,14,6,13,0,10,2,7,1,8,9,6,7,8,6,2,3,7,1,3,14,4,2,1,2,3,3,2,3,1,0,3,0,2,introverted
132,INFP,10,8,16,18,6,2,3,4,2,3,2,4,2,3,4,1,4,0,3,5,2,2,6,2,0,2,5,3,2,2,0,1,3,0,1,1,0,2,4,0,introverted
133,INFJ,10,7,3,5,4,2,0,1,6,5,5,4,0,3,3,1,2,2,0,7,1,2,1,0,1,2,6,1,0,1,1,3,1,3,0,1,0,2,0,0,introverted
134,INTP,22,17,9,14,3,6,15,15,9,9,0,4,2,3,1,4,3,4,1,2,10,4,7,6,2,2,16,2,0,7,4,3,3,6,3,4,2,3,2,0,introverted
135,INFJ,3,3,1,7,0,2,6,10,4,2,0,2,2,2,2,1,2,0,4,5,0,1,5,4,2,0,2,3,1,0,0,2,2,2,1,0,0,1,6,1,introverted
136,INFP,16,7,3,12,6,3,3,17,6,10,9,3,2,5,2,2,6,0,0,12,6,3,9,6,5,3,12,4,3,0,0,2,2,6,1,1,3,1,5,2,introverted
137,INTP,15,6,5,9,10,11,4,6,3,6,2,6,2,2,4,3,4,7,12,10,1,1,2,4,1,3,5,3,6,0,2,4,2,12,5,2,4,0,2,2,introverted
138,INFP,13,9,10,8,5,6,2,10,6,10,0,11,1,3,2,1,4,5,9,4,3,2,5,1,2,3,12,2,0,4,0,4,4,0,0,1,0,2,8,1,introverted
139,ISFP,16,9,9,12,10,5,1,4,3,4,1,5,4,7,1,0,6,5,4,5,2,3,5,2,5,3,9,5,1,2,4,1,1,2,0,1,1,2,4,3,introverted
140,INTP,10,10,6,13,7,0,2,7,6,4,3,3,1,0,4,2,3,0,1,5,2,4,6,2,0,3,15,2,1,1,1,3,1,5,2,2,2,4,0,0,introverted
141,INFP,7,2,2,14,2,2,0,3,3,3,7,1,0,2,3,5,3,3,0,5,3,3,4,1,3,3,13,0,0,3,0,2,1,3,0,0,1,1,4,0,introverted
142,ENFP,9,2,6,7,2,6,2,8,5,5,1,3,0,3,1,1,2,0,5,3,4,1,5,0,1,1,16,1,2,3,1,4,3,3,0,2,0,2,0,1,extraverted
143,ENFP,9,7,3,14,2,8,3,9,3,9,10,4,1,3,3,7,5,3,2,8,3,6,1,5,5,5,20,3,5,1,0,1,2,5,4,1,1,3,0,0,extraverted
144,ENTP,4,6,7,12,6,5,4,11,6,7,1,5,0,1,2,4,4,0,0,12,0,4,10,2,0,1,16,5,8,1,1,2,1,7,3,2,3,3,0,10,extraverted
145,INFJ,6,5,0,11,6,2,1,15,4,8,0,4,2,1,4,4,2,4,3,3,5,5,3,3,0,2,15,2,2,3,2,2,6,0,2,1,0,3,0,0,introverted
146,INFJ,9,3,3,8,2,0,1,5,9,3,2,0,1,2,1,3,0,1,1,3,3,2,6,2,2,5,11,5,3,2,0,3,1,4,2,1,2,4,0,0,introverted
147,ENTP,3,6,4,8,5,6,1,7,4,2,1,4,3,0,1,2,1,1,0,3,0,0,3,1,0,2,12,0,1,1,0,2,3,1,1,1,0,2,1,0,extraverted
148,INFP,18,2,11,20,3,5,4,13,7,6,5,4,2,2,0,7,2,4,3,5,0,0,3,3,1,6,7,3,2,4,4,1,3,3,4,2,1,0,3,4,introverted
149,INFP,6,4,0,8,1,1,0,8,2,1,7,1,0,1,0,1,3,0,4,5,2,3,1,3,0,1,8,0,0,1,2,0,0,2,0,1,1,1,1,2,introverted
150,INTP,13,7,1,16,6,1,4,11,5,4,3,6,5,2,6,3,3,0,4,6,2,3,14,2,2,5,10,2,3,1,3,0,0,8,2,1,1,2,1,0,introverted
